trade_num,date,league,format,bet_team,opponent,model_prob,market_open,edge,cost,entry_price,fillable_est,stake,result,pnl,bankroll_after,clv,prematch_close,beat_close,market_volume,winner
111,2026-04-20,road of legends,bo3,Once Upon A Team,mCon esports,0.536,0.195,0.341,0.04,0.235,300.0,25.94,WIN,84.44,1381.38,-0.02,0.175,N,40875.0,Once Upon A Team
112,2026-04-21,lfl,bo1,TLN Pirates,Joblife,0.676,0.5,0.176,0.04,0.54,300.0,27.63,WIN,23.54,1404.92,0.385,0.885,Y,49500.0,TLN Pirates
113,2026-04-21,lfl,bo1,Solary,Vitality.Bee,0.821,0.5,0.321,0.03,0.53,500.0,28.1,WIN,24.92,1429.84,0.285,0.785,Y,111224.0,Solary
114,2026-04-21,lfl,bo1,Galions,Esprit Shōnen,0.831,0.5,0.331,0.03,0.53,500.0,28.6,WIN,25.36,1455.2,0.375,0.875,Y,89256.0,Galions
115,2026-04-23,tcl,bo3,Misa Esports,SU Esports,0.823,0.5,0.323,0.05,0.55,138.99,29.1,WIN,23.81,1479.01,0.355,0.855,Y,6950.0,Misa Esports
116,2026-04-24,lck challengers,bo3,Hanwha Life Esports Challengers,HANJIN BRION Challengers,0.736,0.5,0.236,0.03,0.53,500.0,29.58,LOSS,-29.58,1449.43,-0.115,0.385,N,86843.0,HANJIN BRION Challengers
117,2026-04-24,lck challengers,bo3,Nongshim Esports Academy,Dplus Kia Challengers,0.629,0.5,0.129,0.03,0.53,500.0,28.99,LOSS,-28.99,1420.44,0.025,0.525,Y,182509.0,Dplus KIA Challengers
118,2026-04-24,lck challengers,bo3,Kiwoom DRX Challengers,BNK FEARX Youth,0.659,0.505,0.154,0.03,0.535,500.0,28.41,LOSS,-28.41,1392.03,-0.345,0.16,N,125777.0,BNK FearX Youth
119,2026-04-24,tcl,bo3,SU Esports,PCIFIC Esports,0.614,0.5,0.114,0.04,0.54,300.0,27.84,WIN,23.72,1415.75,0.385,0.885,Y,35808.0,SU Esports
120,2026-04-24,tcl,bo3,Misa Esports,BoostGate Esports,0.907,0.735,0.172,0.03,0.765,500.0,28.32,WIN,8.7,1424.45,0.13,0.865,Y,51868.0,Misa Esports
121,2026-04-24,lfl,bo1,TLN Pirates,Esprit Shōnen,0.712,0.5,0.212,0.03,0.53,500.0,28.49,WIN,25.26,1449.71,0.215,0.715,Y,72442.0,TLN Pirates
122,2026-04-24,lfl,bo1,Galions,Karmine Corp Blue,0.644,0.5,0.144,0.03,0.53,500.0,28.99,LOSS,-28.99,1420.72,-0.225,0.275,N,129952.0,Karmine Corp Blue
123,2026-04-24,lfl,bo1,Solary,ZYB Esport,0.92,0.745,0.175,0.03,0.775,500.0,28.41,WIN,8.25,1428.97,0.1,0.845,Y,93214.0,Solary
124,2026-04-25,lck challengers,bo3,Nongshim Esports Academy,HANJIN BRION Challengers,0.891,0.74,0.151,0.04,0.78,300.0,28.58,LOSS,-28.58,1400.39,-0.435,0.305,N,40095.0,HANJIN BRION Challengers
125,2026-04-25,north american challengers,bo3,CCG Esports,Citadel Gaming,0.734,0.5,0.234,0.04,0.54,300.0,28.01,WIN,23.86,1424.25,0.095,0.595,Y,44624.0,CCG Esports
126,2026-04-25,north american challengers,bo3,Maryville University,Apex Mission Impossible,0.736,0.5,0.236,0.05,0.55,150.0,28.48,WIN,23.3,1447.55,0.395,0.895,Y,9290.0,Maryville University
127,2026-04-25,north american challengers,bo3,Supernova,Blue Otter,0.804,0.505,0.299,0.04,0.545,300.0,28.95,WIN,24.17,1471.72,0.375,0.88,Y,28927.0,Supernova
128,2026-04-28,ljl,bo3,FENNEL,RAYN Clocks,0.645,0.5,0.145,0.05,0.55,150.0,29.43,WIN,24.08,1495.8,0.35,0.85,Y,9858.0,FENNEL
129,2026-04-28,ljl,bo3,FENNEL,DetonatioN FocusMe Academy,0.676,0.5,0.176,0.06,0.56,50.0,29.92,WIN,23.51,1519.31,0.24,0.74,Y,4310.0,FENNEL
130,2026-04-28,ljl,bo3,New Meta,L Guide Gaming,0.613,0.5,0.113,0.06,0.56,36.92,30.39,WIN,23.88,1543.19,0.145,0.645,Y,2461.0,New Meta
131,2026-05-02,lck challengers,bo3,Dplus Kia Challengers,DN SOOPers Challengers,0.62,0.5,0.12,0.03,0.53,500.0,30.86,LOSS,-30.86,1512.33,-0.235,0.265,N,171256.0,DN SOOPers Challengers
132,2026-05-02,lck challengers,bo3,BNK FEARX Youth,Gen.G Global Academy,0.645,0.5,0.145,0.03,0.53,500.0,30.25,WIN,26.83,1539.16,0.0,0.5,N,67458.0,BNK FearX Youth
